split,symbol,idx,date,kronos,v20,v60,v256,ewma,realised
train,F,256,2017-01-09 00:00:00+00:00,0.00807301145037425,0.01839382590032408,0.015935900252201523,0.01707388853632579,0.017656708277151146,0.013698586595067414
train,F,327,2017-04-21 00:00:00+00:00,0.003427034113241893,0.01063201478766953,0.01183056014262564,0.014946487918905899,0.012638941680113642,0.012887529420542734
train,F,398,2017-08-02 00:00:00+00:00,0.003972229982377441,0.01208189832792719,0.010975052225643865,0.014008311509182629,0.012108405655683614,0.007248149315260704
train,F,469,2017-11-10 00:00:00+00:00,0.0062896168581678975,0.010115586280242348,0.009269307378470829,0.012380032660821074,0.00973855449297309,0.009466416110138294
train,F,540,2018-02-26 00:00:00+00:00,0.006664538092414473,0.02146831444525303,0.017945228506887616,0.01274065381069953,0.018278271267520612,0.01573467518348427
train,F,611,2018-06-07 00:00:00+00:00,0.007779511007914028,0.010091072684657764,0.013535176448424151,0.01316650084183868,0.012847519497353348,0.008104570983270143
train,F,682,2018-09-18 00:00:00+00:00,0.004004195811367945,0.014354736897805581,0.013917289990404222,0.013908235340655026,0.013687852137718363,0.014780720066631595
train,F,753,2018-12-31 00:00:00+00:00,0.0042341074510801255,0.020367288197675883,0.02293311276103612,0.017342777601117527,0.02107811470400261,0.026829341962135673
train,F,824,2019-04-12 00:00:00+00:00,0.01562593342719246,0.013963408980124334,0.017946133468852456,0.017517236385751735,0.016330382810389902,0.024923436470686854
train,F,895,2019-07-25 00:00:00+00:00,0.012567543575126771,0.012839210846587366,0.01258357577845862,0.018862873583233315,0.014378378224352057,0.020912692194163536
train,F,966,2019-11-04 00:00:00+00:00,0.005941227150803944,0.022199153219448074,0.016993136947214032,0.018518210638067356,0.019350898805634672,0.01197540016402132
train,F,1037,2020-02-18 00:00:00+00:00,0.004813843479992212,0.02480438609117636,0.016705634020325648,0.016832025027561263,0.02005021601044193,0.047035718756893746
train,F,1108,2020-05-29 00:00:00+00:00,0.010209644213193071,0.03621367969198507,0.05581806035126766,0.030722721979042616,0.04404232427879235,0.04730393919403796
train,F,1179,2020-09-09 00:00:00+00:00,0.038925967172579144,0.01769677877991539,0.021016482474465758,0.033703263883493054,0.025588816464671402,0.020321990959037816
train,F,1250,2020-12-18 00:00:00+00:00,0.016718638127618955,0.02241394270784749,0.02302500040649553,0.03494129818359908,0.02301125171882214,0.02275244744608587
train,F,1321,2021-04-05 00:00:00+00:00,0.043989584631729736,0.025927472291985443,0.027372764068003416,0.02922727824297162,0.02556329817875774,0.030979288664377637
train,F,1392,2021-07-15 00:00:00+00:00,0.014270909243138834,0.016325787670642106,0.02863335356455429,0.0246962325751275,0.024468720733148323,0.024369327691798698
train,F,1463,2021-10-25 00:00:00+00:00,0.015970366578793027,0.019927984609847325,0.021295412284505558,0.024825963685616903,0.021805400606329604,0.029432106674245718
train,F,1534,2022-02-04 00:00:00+00:00,0.01020756639292278,0.029589247601874515,0.03139529792512069,0.026849581271683073,0.032001901532336514,0.03972692939425699
train,F,1605,2022-05-18 00:00:00+00:00,0.009724993136626385,0.03309840919087941,0.030992435613737546,0.028919903347317578,0.03233855138553888,0.031999634284514786
train,F,1676,2022-08-30 00:00:00+00:00,0.028968771087664612,0.024639746077035618,0.030325911444296354,0.030094062938291626,0.028868487140709383,0.03306575913931247
train,F,1747,2022-12-09 00:00:00+00:00,0.010807581156719252,0.022156751630747405,0.030176740843602383,0.031001755632410793,0.02467052220049298,0.029433300025027535
train,INTC,256,2017-01-09 00:00:00+00:00,0.008654289839024408,0.009091579172052345,0.012942055910957408,0.014328335600473923,0.011222029513123797,0.009405053774074341
train,INTC,327,2017-04-21 00:00:00+00:00,0.007522311402801893,0.00547689014318765,0.00784542229065342,0.011350537471809998,0.007562799263864354,0.011932390784818506
train,INTC,398,2017-08-02 00:00:00+00:00,0.005449478129156365,0.010484095880768598,0.009792676353918405,0.010418358483434505,0.010185149304606542,0.007100490276169323
train,INTC,469,2017-11-10 00:00:00+00:00,0.002683593516480512,0.01800517958128373,0.012502699397128439,0.010443376933429893,0.014366632056791662,0.010856130437153331
train,INTC,540,2018-02-26 00:00:00+00:00,0.011350555875417969,0.032637551248193696,0.02259324829314619,0.014215050108048471,0.023661420338368058,0.01805257322613205
train,INTC,611,2018-06-07 00:00:00+00:00,0.01095168613668277,0.013159447627563011,0.02078843670191127,0.017314961403406343,0.018194941549097062,0.016743773706229845
train,INTC,682,2018-09-18 00:00:00+00:00,0.005485807902719822,0.012604533229597575,0.016946131387220172,0.01884692616092806,0.01555480247424333,0.018816565751251877
train,INTC,753,2018-12-31 00:00:00+00:00,0.004275246147668413,0.027364057686923165,0.02412702528106413,0.02120115916781331,0.023978439976430444,0.02574945232213295
